program_id,month,year,plan_value,actual_value,status
55,dec,2026,0,0,pending
56,jan,2026,0,0,pending
56,feb,2026,0,0,pending
56,mar,2026,2,2,completed
56,apr,2026,0,0,pending
56,may,2026,0,0,pending
56,jun,2026,0,0,pending
56,jul,2026,0,0,pending
56,aug,2026,0,0,pending
56,sep,2026,0,0,pending
56,oct,2026,0,0,pending
56,nov,2026,0,0,pending
56,dec,2026,0,0,pending
57,jan,2026,0,0,pending
57,feb,2026,0,0,pending
57,mar,2026,0,0,pending
57,apr,2026,0,0,pending
57,may,2026,0,0,pending
57,jun,2026,0,0,pending
57,jul,2026,0,0,pending
57,aug,2026,0,0,pending
57,sep,2026,0,0,pending
57,oct,2026,0,0,pending
57,nov,2026,0,0,pending
57,dec,2026,0,0,pending
58,jan,2026,4,4,completed
58,feb,2026,4,4,completed
58,mar,2026,4,4,completed
58,apr,2026,4,4,completed
58,may,2026,4,4,completed
58,jun,2026,4,4,completed
58,jul,2026,4,4,completed
58,aug,2026,4,4,completed
58,sep,2026,4,4,completed
58,oct,2026,4,4,completed
58,nov,2026,4,0,pending
58,dec,2026,4,0,pending
59,jan,2026,0,0,pending
59,feb,2026,0,0,pending
59,mar,2026,0,0,pending
59,apr,2026,0,0,pending
59,may,2026,0,0,pending
59,jun,2026,0,0,pending
59,jul,2026,1,1,completed
59,aug,2026,1,1,completed
59,sep,2026,0,0,pending
59,oct,2026,0,0,pending
59,nov,2026,0,0,pending
59,dec,2026,0,0,pending
60,jan,2026,2,3,completed
60,feb,2026,2,2,completed
60,mar,2026,2,2,completed
60,apr,2026,2,2,completed
60,may,2026,2,2,completed
60,jun,2026,2,2,completed
60,jul,2026,2,2,completed
60,aug,2026,2,2,completed
60,sep,2026,2,2,completed
60,oct,2026,2,2,completed
60,nov,2026,2,2,completed
60,dec,2026,2,0,pending
61,jan,2026,0,0,pending
61,feb,2026,0,0,pending
61,mar,2026,0,0,pending
61,apr,2026,0,0,pending
61,may,2026,0,0,pending
61,jun,2026,0,0,pending
61,jul,2026,0,0,pending
61,aug,2026,0,0,pending
61,sep,2026,0,0,pending
61,oct,2026,1,1,completed
61,nov,2026,0,0,pending
61,dec,2026,0,0,pending
62,jan,2026,1,1,completed
62,feb,2026,1,1,completed
62,mar,2026,1,1,completed
62,apr,2026,1,2,completed
62,may,2026,1,1,completed
62,jun,2026,1,1,completed
62,jul,2026,1,1,completed
62,aug,2026,1,1,completed
62,sep,2026,1,1,completed
62,oct,2026,1,1,completed
62,nov,2026,1,1,completed
62,dec,2026,1,0,pending
63,jan,2026,1,1,completed
63,feb,2026,0,1,pending
63,mar,2026,0,1,pending
63,apr,2026,1,1,completed
63,may,2026,0,0,pending
63,jun,2026,0,0,pending
63,jul,2026,1,1,completed
63,aug,2026,0,0,pending
63,sep,2026,0,1,pending
63,oct,2026,1,1,completed
63,nov,2026,0,0,pending
63,dec,2026,0,0,pending
64,jan,2026,1,1,completed
64,feb,2026,0,1,pending
64,mar,2026,0,1,pending
64,apr,2026,1,1,completed
64,may,2026,0,0,pending
64,jun,2026,0,0,pending
64,jul,2026,1,1,completed
64,aug,2026,0,0,pending
64,sep,2026,0,1,pending
64,oct,2026,1,1,completed
64,nov,2026,0,1,pending
64,dec,2026,0,0,pending
65,jan,2026,2,2,completed
65,feb,2026,2,3,completed
65,mar,2026,2,2,completed
65,apr,2026,2,2,completed
65,may,2026,2,2,completed
65,jun,2026,2,2,completed
65,jul,2026,2,2,completed
65,aug,2026,2,2,completed
65,sep,2026,2,2,completed
65,oct,2026,2,2,completed
65,nov,2026,2,2,completed
65,dec,2026,2,0,pending
66,jan,2026,3,3,completed
66,feb,2026,3,3,completed
66,mar,2026,3,3,completed
66,apr,2026,3,3,completed
66,may,2026,3,3,completed
66,jun,2026,3,3,completed
66,jul,2026,3,3,completed
66,aug,2026,3,3,completed
66,sep,2026,3,3,completed
66,oct,2026,3,3,completed
66,nov,2026,3,3,completed
66,dec,2026,3,0,pending
67,jan,2026,1,2,completed
67,feb,2026,1,3,completed
67,mar,2026,1,3,completed
67,apr,2026,1,2,completed
67,may,2026,1,2,completed
67,jun,2026,1,2,completed
67,jul,2026,1,2,completed
67,aug,2026,1,2,completed
67,sep,2026,1,1,completed
67,oct,2026,1,1,completed
67,nov,2026,1,1,completed
67,dec,2026,1,0,pending
68,jan,2026,1,3,completed
68,feb,2026,0,3,pending
68,mar,2026,0,4,pending
68,apr,2026,1,1,completed
68,may,2026,0,1,pending
68,jun,2026,0,1,pending
68,jul,2026,1,2,completed
68,aug,2026,0,2,pending
68,sep,2026,0,1,pending
68,oct,2026,1,2,completed
68,nov,2026,0,2,pending
68,dec,2026,0,0,pending
69,jan,2026,1,1,completed
69,feb,2026,0,1,pending
69,mar,2026,0,1,pending
69,apr,2026,0,1,pending
69,may,2026,1,1,completed
69,jun,2026,0,1,pending
69,jul,2026,0,0,pending
69,aug,2026,0,1,pending
69,sep,2026,1,1,completed
69,oct,2026,0,1,pending
69,nov,2026,0,2,pending
69,dec,2026,0,0,pending
70,jan,2026,1,1,completed
70,feb,2026,1,1,completed
70,mar,2026,1,1,completed
70,apr,2026,1,1,completed
70,may,2026,1,1,completed
70,jun,2026,1,1,completed
70,jul,2026,1,1,completed
70,aug,2026,1,1,completed
70,sep,2026,1,1,completed
70,oct,2026,1,1,completed
70,nov,2026,1,1,completed
70,dec,2026,1,0,pending
71,jan,2026,1,1,completed
71,feb,2026,1,1,completed
71,mar,2026,1,1,completed
71,apr,2026,1,1,completed
71,may,2026,1,1,completed
71,jun,2026,1,1,completed
71,jul,2026,1,1,completed
71,aug,2026,1,1,completed
71,sep,2026,1,1,completed
71,oct,2026,1,1,completed
71,nov,2026,1,1,completed
71,dec,2026,1,0,pending
72,jan,2026,0,0,pending
72,feb,2026,0,0,pending
72,mar,2026,0,0,pending
72,apr,2026,0,0,pending
72,may,2026,0,0,pending
72,jun,2026,0,0,pending
72,jul,2026,0,0,pending
